DateOfRecord,DateOfEvent,Day,Month,Year,Place,TypeOfRoad,Event,Vehicle1,Vehicle2,Outcome,AgeV1,AgeV2,TypeV2,Crossroad,Hour,H,M,GenderV1,GenderV2,AlchoholV2,Region,Mun,Hours,Mun2,MunLatin,MunLatin2
02.06.2015,02.06.2015,02,06,2015,с.Враништа,Open,сообраќајна незгода,велосипед,автомобил,смрт,79,NA,Фолксваген Пасат,не,11:00,11,00,NA,NA,NA,Југозападен,Струга,11,Струга,Struga,Struga
30.08.2015,29.08.2015,29,08,2015,Струга,Open,сообраќајна незгода,велосипед,автомобил,смрт,66,27,Мерцедес,не,16:00,16,00,NA,NA,NA,Југозападен,NA,16,Струга,Struga,Struga
16.09.2015,15.09.2015,15,09,2015,Кичево,Open,сообраќајна незгода,велосипед,автомобил,смрт,74,44,Цитроен Берлинго,да,11:20,11,20,NA,NA,NA,Југозападен,NA,11,Кичево,Kičevo,Kičevo
19.09.2015,18.09.2015,18,09,2015,Скопје,Urban,сообраќајна незгода,велосипед,автомобил,смрт,13,47,Фиат Пунто,да,18:30,18,30,NA,ж,NA,Скопски,Центар,18,Центар,Skopje,Skopje
26.09.2015,25.09.2015,25,09,2015,Скопје,Urban,сообраќајна незгода,велосипед,автомобил,смрт,64,20,Ауди,да,14:00,14,00,NA,NA,NA,Скопски,Центар,14,Центар,Skopje,Skopje
14.12.2015,13.12.2015,13,12,2015,с.Долно Коњари,Rural,сообраќајна незгода,велосипед,автомобил,животна опасност,74,70,Опел Олимпија,не,15:30,15,30,NA,NA,NA,Скопски,Петровец,15,Петровец,Petrovec,Petrovec
01.01.2016,31.12.2015,31,12,2015,Охрид,Urban,сообраќајна незгода,велосипед,автомобил,смрт,62,53,Фолксваген Пасат,не,17:00,17,00,NA,NA,да,Југозападен,NA,17,Охрид,Ohrid,Ohrid
21.02.2016,20.02.2016,20,02,2016,с.Велешта,Open,сообраќајна незгода,велосипед со мотор,автобус,тешка повреда,52,45,Автобус,не,17:10,17,10,NA,NA,NA,Југозападен,Струга,17,Струга,Struga,Struga
22.02.2016,21.02.2016,21,02,2016,с.Другово,Open,сообраќајна незгода,велосипед,автомобил,тешка повреда,65,52,Фолксваген Голф,не,16:00,16,00,NA,NA,NA,Југозападен,Кичево,16,Кичево,Kičevo,Kičevo
09.03.2016,07.03.2016,07,03,2016,Битола,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,67,64,Цитроен берлинго,да,11:15,11,15,NA,NA,NA,Пелагониски,NA,11,Битола,Bitola,Bitola
11.03.2016,10.03.2016,10,03,2016,Скопје,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,NA,52,Фолксваген Голф,да,20:15,20,15,NA,NA,NA,Скопски,Центар,20,Центар,Skopje,Skopje
14.03.2016,13.03.2016,13,03,2016,Тетово,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,86,44,Фолксваген Пасат,не,5:30,5,30,NA,NA,NA,Полошки,NA,5,Тетово,Tetovo,Tetovo
06.04.2016,05.04.2016,05,04,2016,Скопје,Urban,сообраќајна незгода,велосипед,автомобил,смрт,70,20,Мерцедес,да,12:30,12,30,NA,NA,NA,Скопски,Гази Баба,12,Гази Баба,Skopje,Skopje
11.04.2016,10.04.2016,10,04,2016,Охрид,Urban,сообраќајна незгода,велосипед,автомобил,животна опасност,44,18,Југо,не,22:20,22,20,NA,NA,NA,Југозападен,NA,22,Охрид,Ohrid,Ohrid
13.04.2016,12.04.2016,12,04,2016,Неготино,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,13,50,Мазда,да,15:00,15,00,ж,NA,NA,Вардарски,NA,15,Неготино,Negotino,Negotino
19.04.2016,18.04.2016,18,04,2016,Куманово,Urban,сообраќајна незгода,велосипед,автомобил,животна опасност,65,34,Џип Чироки,да,20:45,20,45,NA,NA,NA,Североисточен,NA,20,Куманово,Kumanovo,Kumanovo
06.06.2016,05.06.2016,05,06,2016,Гостивар,Open,сообраќајна незгода,велосипед,автомобил,животна опасност,69,NA,NA,не,13:00,13,00,NA,NA,NA,Полошки,NA,13,Гостивар,Gostivar,Gostivar
07.06.2016,06.06.2016,06,06,2016,Скопје,Urban,сообраќајна незгода,велосипед,мотор,тешка повреда,47,17,Мотор,да,17:00,17,00,ж,NA,NA,Скопски,Карпош,17,Карпош,Skopje,Skopje
10.06.2016,09.06.2016,09,06,2016,Штип,Urban,сообраќајна незгода,велосипед,автомобил,смрт,59,37,Алфа Ромео,да,21:40,21,40,NA,NA,да,Источен,NA,21,Штип,Štip,Štip
14.06.2016,13.06.2016,13,06,2016,Охрид,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,63,39,Фолксваген Пасат,не,14:00,14,00,ж,NA,NA,Југозападен,NA,14,Охрид,Ohrid,Ohrid
15.06.2016,14.06.2016,14,06,2016,с.Радуша,Rural,сообраќајна незгода,велосипед,NA,тешка повреда,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Скопски,Сарај,NA,Сарај,Saraǰ,Saraǰ
10.07.2016,09.07.2016,09,07,2016,с.Сингелиќ,Open,сообраќајна незгода,велосипед,автомобил,смрт,6,39,Камион,да,10:45,10,45,NA,NA,NA,Скопски,Гази Баба,10,Гази Баба,Skopje,Skopje
17.07.2016,16.07.2016,16,07,2016,с.Подареш,Open,сообраќајна незгода,велосипед,автомобил,тешка повреда,8,28,Форд Галакси,не,11:45,11,45,NA,NA,NA,Југоисточен,Радовиш,11,Радовиш,Radoviš,Radoviš
25.07.2016,24.07.2016,24,07,2016,Велес,Urban,сообраќајна незгода,велосипед,NA,повреда,56,NA,NA,не,17:30,17,30,NA,NA,NA,Вардарски,NA,17,Велес,Veles,Veles
16.08.2016,15.08.2016,15,08,2016,Скопје,Urban,сообраќајна незгода,велосипед,NA,животна опасност,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,Скопски,Центар,NA,Центар,Skopje,Skopje
22.08.2016,21.08.2016,21,08,2016,Велес,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,8,25,Фолксваген Поло,не,18:30,18,30,NA,NA,NA,Вардарски,NA,18,Велес,Veles,Veles
26.08.2016,25.08.2016,25,08,2016,с.Теарце,Open,сообраќајна незгода,велосипед,пешак,тешка повреда,31,20,NA,не,21:45,21,45,NA,NA,NA,Полошки,Теарце,21,Теарце,Tearce,Tearce
26.08.2016,25.08.2016,25,08,2016,с.Теарце,Open,сообраќајна незгода,велосипед,пешак,тешка повреда,31,29,NA,не,21:45,21,45,NA,NA,NA,Полошки,Теарце,21,Теарце,Tearce,Tearce
27.08.2016,26.08.2016,26,08,2016,Виница,Open,сообраќајна незгода,велосипед,автомобил,смрт,71,41,Комбе,не,6:40,6,40,NA,NA,NA,Источен,NA,6,Виница,Vinica,Vinica
04.09.2016,03.09.2016,03,09,2016,Скопје,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,89,28,Форд Фиеста,не,10:40,10,40,NA,NA,NA,Скопски,Ѓорче Петров,10,Ѓорче Петров,Skopje,Skopje
06.09.2016,05.09.2016,05,09,2016,Тетово,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,12,47,Ауди,да,12:30,12,30,NA,NA,NA,Полошки,NA,12,Тетово,Tetovo,Tetovo
11.09.2016,10.09.2016,10,09,2016,Скопје,Open,сообраќајна незгода,велосипед,мотор,животна опасност,16,18,Мотор,не,16:00,16,00,NA,NA,NA,Скопски,Центар,16,Центар,Skopje,Skopje
