Дата на записник,Дата на незгода,Ден на незгода,Месец на незгода,Година на незгода,Ден од неделата,Време на незгода,Час на незгода,Место на незгода,Тип на пат,Соучесник во незгодата,Последица,Возраст на велосипедист,Возраст на автомобилист,Тип на возило,Раскрсница,Регион,Општина,Општина латиница
2015-06-02T00:00:00Z,2015-06-02T00:00:00Z,2,Јуни,2015,Вторник,11:00:00,11,с. Враништа,Отворен пат,автомобил,смрт,79,NA,Фолксваген Пасат,не,Југозападен,Струга,Struga
2015-08-30T00:00:00Z,2015-08-29T00:00:00Z,29,Август,2015,Сабота,16:00:00,16,Струга,Отворен пат,автомобил,смрт,66,27,Мерцедес,не,Југозападен,Струга,Struga
2015-09-16T00:00:00Z,2015-09-15T00:00:00Z,15,Септември,2015,Вторник,11:20:00,11,Кичево,Отворен пат,автомобил,смрт,74,44,Цитроен Берлинго,да,Југозападен,Кичево,Kičevo
2015-09-19T00:00:00Z,2015-09-18T00:00:00Z,18,Септември,2015,Петок,18:30:00,18,Скопје,Градски пат,автомобил,смрт,13,47,Фиат Пунто,да,Скопски,Центар,Skopje
2015-09-26T00:00:00Z,2015-09-25T00:00:00Z,25,Септември,2015,Петок,14:00:00,14,Скопје,Градски пат,автомобил,смрт,64,20,Ауди,да,Скопски,Центар,Skopje
2015-12-14T00:00:00Z,2015-12-13T00:00:00Z,13,Декември,2015,Недела,15:30:00,15,с. Долно Коњари,Селски пат,автомобил,животна опасност,74,70,Опел Олимпија,не,Скопски,Петровец,Petrovec
2016-01-01T00:00:00Z,2015-12-31T00:00:00Z,31,Декември,2015,Четврток,17:00:00,17,Охрид,Градски пат,автомобил,смрт,62,53,Фолксваген Пасат,не,Југозападен,Охрид,Ohrid
2016-02-21T00:00:00Z,2016-02-20T00:00:00Z,20,Февруари,2016,Сабота,17:10:00,17,с. Велешта,Отворен пат,автобус,тешка повреда,52,45,Автобус,не,Југозападен,Струга,Struga
2016-02-22T00:00:00Z,2016-02-21T00:00:00Z,21,Февруари,2016,Недела,16:00:00,16,с. Другово,Отворен пат,автомобил,тешка повреда,65,52,Фолксваген Голф,не,Југозападен,Кичево,Kičevo
2016-03-09T00:00:00Z,2016-03-07T00:00:00Z,7,Март,2016,Понеделник,11:15:00,11,Битола,Градски пат,автомобил,тешка повреда,67,64,Цитроен берлинго,да,Пелагониски,Битола,Bitola
2016-03-11T00:00:00Z,2016-03-10T00:00:00Z,10,Март,2016,Четврток,20:15:00,20,Скопје,Градски пат,автомобил,тешка повреда,NA,52,Фолксваген Голф,да,Скопски,Центар,Skopje
2016-03-14T00:00:00Z,2016-03-13T00:00:00Z,13,Март,2016,Недела,05:30:00,5,Тетово,Градски пат,автомобил,тешка повреда,86,44,Фолксваген Пасат,не,Полошки,Тетово,Tetovo
2016-04-06T00:00:00Z,2016-04-05T00:00:00Z,5,Април,2016,Вторник,12:30:00,12,Скопје,Градски пат,автомобил,смрт,70,20,Мерцедес,да,Скопски,Гази Баба,Skopje
