DateOfRecord,DateOfEvent,Place,TypeOfRoad,Event,Vehicle1,Vehicle2,Outcome,AgeV1,AgeV2,TypeV2,Crossroad,Hour,GenderV1,GenderV2,AlchoholV2
28.05.2015,28.05.2015,Тетово,Urban,кражба на велосипед,,,,,,,,,,,
02.06.2015,02.06.2015,с.Враништа,Open,сообраќајна незгода,велосипед,автомобил,смрт,79,,Фолксваген Пасат,не,11:00,,,
30.08.2015,29.08.2015,Струга,Open,сообраќајна незгода,велосипед,автомобил,смрт,66,27,Мерцедес,не,16:00,,,
16.09.2015,15.09.2015,Кичево,Open,сообраќајна незгода,велосипед,автомобил,смрт,74,44,Цитроен Берлинго,да,11:20,,,
19.09.2015,18.09.2015,Скопје,Urban,сообраќајна незгода,велосипед,автомобил,смрт,13,47,Фиат Пунто,да,18:30,,ж,
22.09.2015,21.09.2015,Свети Николе,Urban,напад на велосипедист,,,,,,,,17:45,,,
26.09.2015,25.09.2015,Скопје,Urban,сообраќајна незгода,велосипед,автомобил,смрт,64,20,Ауди,да,14:00,,,
14.12.2015,13.12.2015,с.Долно Коњаре,Rural,сообраќајна незгода,велосипед,автомобил,животна опасност,74,70,Опел Олимпија,не,15:30,,,
01.01.2016,31.12.2015,Охрид,Urban,сообраќајна незгода,велосипед,автомобил,смрт,62,53,Фолксваген Пасат,не,17:00,,,да
21.02.2016,20.02.2016,с.Велешта,Open,сообраќајна незгода,велосипед со мотор,автобус,тешка повреда,52,45,Автобус,не,17:10,,,
22.02.2016,21.02.2016,с.Другово,Open,сообраќајна незгода,велосипед,автомобил,тешка повреда,65,52,Фолксваген Голф,не,16:00,,,
09.03.2016,07.03.2016,Битола,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,67,64,Цитроен берлинго,да,11:15,,,
11.03.2016,10.03.2016,Скопје,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,,52,Фолксваген Голф,да,20:15,,,
14.03.2016,13.03.2016,Тетово,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,86,44,Фолксваген Пасат,не,5:30,,,
20.03.2016,19.03.2016,Скопје,Urban,кражба на велосипед,,,,19,,,,12:55,,,
01.04.2016,31.03.2016,Скопје,Open,напад на велосипедист,,,,32,,,,,ж,,
06.04.2016,05.04.2016,Скопје,Urban,сообраќајна незгода,велосипед,автомобил,смрт,70,20,Мерцедес,да,12:30,,,
11.04.2016,10.04.2016,Охрид,Urban,сообраќајна незгода,велосипед,автомобил,животна опасност,44,18,Југо,не,22:20,,,
13.04.2016,12.04.2016,Неготино,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,13,50,Мазда,да,15:00,ж,,
19.04.2016,18.04.2016,Куманово,Urban,сообраќајна незгода,велосипед,автомобил,животна опасност,65,34,Џип Чироки,да,20:45,,,
06.06.2016,05.06.2016,Гостивар,Open,сообраќајна незгода,велосипед,автомобил,животна опасност,69,,,не,13:00,,,
07.06.2016,06.06.2016,Скопје,Urban,сообраќајна незгода,велосипед,мотор,тешка повреда,47,17,Мотор,да,17:00,ж,,
10.06.2016,09.06.2016,Штип,Urban,сообраќајна незгода,велосипед,автомобил,смрт,59,37,Алфа Ромео,да,21:40,,,да
14.06.2016,13.06.2016,Охрид,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,63,39,Фолксваген Пасат,не,14:00,ж,,
15.06.2016,14.06.2016,с.Радуша,Rural,сообраќајна незгода,велосипед,,тешка повреда,,,,,,,,
10.07.2016,09.07.2016,с.Сингелиќ,Open,сообраќајна незгода,велосипед,автомобил,смрт,6,39,Камион,да,10:45,,,
17.07.2016,16.07.2016,с.Подареш,Open,сообраќајна незгода,велосипед,автомобил,тешка повреда,8,28,Форд Галакси,не,11:45,,,
23.07.2016,23.07.2016,Скопје,Urban,напад на велосипедист,,,,12,40,,,19:30,,,
25.07.2016,24.07.2016,Велес,Urban,сообраќајна незгода,велосипед,,повреда,56,,,не,17:30,,,
06.08.2016,06.08.2016,Скопје,Urban,кражба на велосипед,,,,,,,,,,,
16.08.2016,15.08.2016,Скопје,Urban,сообраќајна незгода,велосипед,,животна опасност,59,,,,,,,
18.08.2016,17.08.2016,Свети Николе,Urban,напад на велосипедист,,,,,,,,,,,
22.08.2016,21.08.2016,Велес,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,8,25,Фолксваген Поло,не,18:30,,,
26.08.2016,25.08.2016,с.Теарце,Open,сообраќајна незгода,велосипед,пешак,тешка повреда,31,20,,не,21:45,,,
26.08.2016,25.08.2016,с.Теарце,Open,сообраќајна незгода,велосипед,пешак,тешка повреда,31,29,,не,21:45,,,
27.08.2016,26.08.2016,Виница,Open,сообраќајна незгода,велосипед,автомобил,смрт,71,41,Комбе,не,6:40,,,
29.08.2016,29.08.2016,Кочани,Urban,кражба на велосипед,,,,,,,,,,,
31.08.2016,09.07.2016,Тетово,Urban,напад на велосипедист,,,,20,29,Фолксваген ,не,,,,
04.09.2016,03.09.2016,Скопје,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,89,28,Форд Фиеста,не,10:40,,,
06.09.2016,05.09.2016,Тетово,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,12,47,Ауди,да,12:30,,,
11.09.2016,10.09.2016,Скопје,Open,сообраќајна незгода,велосипед,мотор,животна опасност,16,18,Мотор,не,16:00,,,
16.09.2016,15.09.2016,Куманово,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,5,24,БМВ,не,16:30,,,
21.09.2016,20.09.2016,Скопје,Open,сообраќајна незгода,велосипед,автомобил,животна опасност,19,54,Мерцедес,не,19,,,
01.10.2016,30.09.2016,Струга,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,72,74,Цитроен Ц3,не,12:00,,,
03.10.2016,02.10.2016,с.Аргулица,Open,сообраќајна незгода,велосипед,автомобил,смрт,80,51,Лада Нива,не,16:40,,,да
07.10.2016,06.10.2016,Скопје,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,22,,Фолксваген Пасат,не,19:45,,,
08.10.2016,07.10.2016,Прилеп,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,77,,Комбе,не,11:15,,,
10.10.2016,09.10.2016,Битола,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,40,24,БМВ,да,11:37,,,
10.10.2016,09.10.2016,Гостивар,Open,сообраќајна незгода,велосипед,автомобил,тешка повреда,13,54,Нисан,не,19:55,,,
14.10.2016,13.10.2016,Скопје,Urban,спасување,,,,,,,,,,,
